query_id,original_id,num_relevant,query_length_tokens,AP_VSM,AP_BM25,delta_AP,P@10_VSM,P@10_BM25,query_text
1,1,28,11,0.169013,0.226308,0.057296,0.400000,0.300000,what similarity laws must be obeyed when constructing aeroelastic models of heated high speed aircraft .
2,2,24,8,0.253338,0.236277,-0.017062,0.400000,0.500000,what are the structural and aeroelastic problems associated with flight of high speed aircraft .
3,4,8,7,0.633000,0.655937,0.022937,0.700000,0.700000,what problems of heat conduction in composite slabs have been solved so far .
4,8,2,18,0.540000,0.278571,-0.261429,0.100000,0.100000,can a criterion be developed to show empirically the validity of flow solutions for chemically reacting gas mixtures based on the simplifying assumption of instantaneous local chemical equilibrium .
5,9,4,7,0.284821,0.327564,0.042743,0.300000,0.300000,what chemical kinetic system is applicable to hypersonic aerodynamic problems .
6,10,4,7,0.087258,0.170884,0.083627,0.100000,0.100000,what theoretical and experimental guides do we have as to turbulent couette flow behaviour .
7,12,5,18,0.136124,0.156595,0.020471,0.200000,0.200000,is it possible to relate the available pressure distributions for an ogive forebody at zero angle of attack to the lower surface pressures of an equivalent ogive forebody at angle of attack .
8,13,11,12,0.101149,0.161005,0.059856,0.100000,0.100000,what methods -dash exact or approximate -dash are presently available for predicting body pressures at angle of attack.
9,15,3,7,0.700000,0.805556,0.105556,0.300000,0.300000,papers on internal /slip flow/ heat transfer studies .
10,18,8,10,0.185886,0.162080,-0.023806,0.300000,0.100000,are real-gas transport properties for air available over a wide range of enthalpies and densities .
11,22,7,11,0.117227,0.186378,0.069151,0.100000,0.200000,"is it possible to find an analytical, similar solution of the strong blast wave problem in the newtonian approximation ."
12,23,5,8,0.324427,0.251722,-0.072705,0.200000,0.200000,how can the aerodynamic performance of channel flow ground effect machines be calculated .
13,26,4,5,0.007837,0.007837,0.000000,0.000000,0.000000,what is the basic mechanism of the transonic aileron buzz .
14,27,2,5,0.750000,0.611111,-0.138889,0.200000,0.200000,papers on shock-sound wave interaction .
15,29,2,4,0.625000,1.000000,0.375000,0.200000,0.200000,material properties of photoelastic materials .
16,31,3,9,0.177815,0.200654,0.022839,0.100000,0.100000,can the transverse potential flow about a body of revolution be calculated efficiently by an electronic computer .
17,32,2,12,0.513158,0.078675,-0.434483,0.100000,0.100000,can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem .
18,33,3,8,0.128412,0.355899,0.227487,0.100000,0.100000,are experimental pressure distributions on bodies of revolution at angle of attack available .
19,34,9,13,0.031449,0.055134,0.023685,0.100000,0.100000,does there exist a good basic treatment of the dynamics of re-entry combining consideration of realistic effects with relative simplicity of results .
20,35,9,15,0.495882,0.575377,0.079496,0.500000,0.600000,"has anyone formally determined the influence of joule heating, produced by the induced current, in magnetohydrodynamic free convection flows under general conditions ."
21,39,4,9,0.097197,0.049819,-0.047378,0.100000,0.000000,why does the compressibility transformation fail to correlate the high speed data for helium and air .
22,40,1,11,0.001647,0.001647,0.000000,0.000000,0.000000,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature .
23,41,32,5,0.221358,0.216850,-0.004508,0.400000,0.400000,what progress has been made in research on unsteady aerodynamics .
24,49,3,8,0.251156,0.361111,0.109955,0.200000,0.200000,what are the factors which influence the time required to invert large structural matrices .
25,50,9,11,0.625719,0.703735,0.078016,0.500000,0.600000,does a practical flow follow the theoretical concepts for the interaction between adjacent blade rows of a supersonic cascade .
26,51,6,12,0.119961,0.233164,0.113203,0.200000,0.200000,what is a single approximate formula for the displacement thickness of a laminar boundary layer in compressible flow on a flat plate .
27,52,3,9,0.129713,0.147811,0.018098,0.100000,0.200000,how is the design of ring or part ring wings by linear theory affected by thickness .
28,53,2,6,0.004950,0.004870,-0.000081,0.000000,0.000000,what application has the linear theory design of curved wings .
29,54,9,11,0.540401,0.440656,-0.099745,0.500000,0.400000,what is the effect of cross sectional shape on the flow over simple delta wings with sharp leading edges .
30,55,7,6,0.109228,0.074265,-0.034963,0.100000,0.100000,papers on flow visualization on slender conical wings .
31,56,1,16,0.000999,0.000926,-0.000073,0.000000,0.000000,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .
32,57,6,8,0.078158,0.130538,0.052380,0.100000,0.200000,to find an approximate correction for thickness in slender thin-wing theory .
33,58,3,18,0.337302,0.638889,0.301587,0.300000,0.300000,how do interference-free longitudinal stability measurements (made using free-flight models) compare with similar measurements made in a low-blockage wind tunnel .
34,59,6,7,0.165099,0.258598,0.093499,0.100000,0.200000,have wind tunnel interference effects been investigated on a systematic basis .
